FPR_RF,TPR_RF
1,0.94
1,0.94
1,0.94
1,0.94
0.632,0.924
0.462,0.896
0.388,0.864
0.358,0.864
0.348,0.856
0.312,0.85
0.298,0.85
0.27,0.842
0.254,0.84
0.228,0.834
0.216,0.832
0.204,0.828
0.198,0.826
0.19,0.82
0.184,0.82
0.18,0.82
0.176,0.82
0.17,0.814
0.168,0.814
0.166,0.812
0.158,0.802
0.154,0.8
0.148,0.8
0.146,0.794
0.138,0.792
0.138,0.79
0.136,0.79
0.136,0.788
0.13,0.782
0.128,0.78
0.128,0.776
0.128,0.776
0.126,0.776
0.124,0.776
0.122,0.776
0.122,0.776
0.122,0.772
0.122,0.772
0.118,0.772
0.116,0.772
0.114,0.772
0.114,0.768
0.114,0.768
0.112,0.768
0.112,0.768
0.11,0.766
0.108,0.762
0.104,0.76
0.104,0.76
0.104,0.76
0.102,0.76
0.102,0.76
0.102,0.76
0.102,0.76
0.1,0.76
0.1,0.76
0.1,0.76
0.098,0.758
0.094,0.756
0.094,0.756
0.092,0.754
0.09,0.752
0.088,0.752
0.088,0.75
0.088,0.748
0.088,0.748
0.088,0.746
0.088,0.744
0.088,0.744
0.088,0.736
0.084,0.732
0.082,0.732
0.082,0.73
0.082,0.73
0.08,0.73
0.08,0.728
0.08,0.724
0.08,0.724
0.08,0.718
0.072,0.716
0.068,0.714
0.068,0.71
0.066,0.708
0.066,0.706
0.064,0.706
0.064,0.706
0.064,0.702
0.062,0.702
0.062,0.7
0.062,0.7
0.062,0.698
0.062,0.698
0.058,0.696
0.054,0.684
0.05,0.68
0.05,0.678
0.05,0.678
0.048,0.674
0.048,0.674
0.048,0.668
0.048,0.668
0.046,0.664
0.046,0.66
0.046,0.656
0.046,0.65
0.046,0.646
0.044,0.638
0.044,0.626
0.044,0.616
0.044,0.612
0.044,0.586
0.044,0.544
0.042,0.52
0.042,0.492
0.038,0.416
0.038,0.298
0.036,0.054
0.036,0
0.036,0
0.036,0
0.036,0
0.036,0
0.036,0
0.036,0
0.036,0
0.036,0
0.036,0
0.036,0
0.036,0
0.036,0
0.036,0
0.036,0
0.036,0
0.036,0
